Code,Name,Market,recommendationKey,sharesOutstanding,averageVolume10days,averageVolume,heldPercentInstitutions,shortRatio,sharesPercentSharesOut,marketCap,currentPrice,fiftyDayAverage,twoHundredDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,SandP52WeekChange,52WeekChange,ytdReturn,fiveYearAverageReturn,beta,totalRevenue,grossProfits,revenuePerShare,ebitdaMargins,debtToEquity,operatingCashflow,freeCashflow,totalCashPerShare,currentRatio,quickRatio,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,profitMargins,totalCash,totalDebt,priceToBook,enterpriseValue,enterpriseToRevenue,enterpriseToEbitda,trailingEps,priceToSalesTrailing12Months,trailingPE,dividendYield,dividendRate,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,revenueQuarterlyGrowth,heldPercentInsiders,BPS,목표주가,추정EPS,추정PER,ROE,동종업계ROE,동종업계enterpriseToEbitda,동종업계dividendYield,동종업계trailingEps,동종업계trailingPE,5년평균dividendYield,EBITDAPS,동종업계_대비_PER,dividend,growth,value,business,finance,performance,volitality
005930,삼성전자,KOSPI,4.0,5969780224.0,15819172.0,13878613.0,0.47631,4.28,0.0001237574872572,452548859265024.0,68000.0,71160.0,64285.0,73600.0,0.0,0.061902404,15.025042999999998,24.59,16.247999999999998,0.95,3022314.0,433766.0,39878.17,0.19594999,26.40592124698661,621813.0,5416.0,8322.03165541526,13.156,9.287,12.72,17.07,0.31972998,0.06079,0.13136,496807.0,936749.0,1.09,374294588686336.0,1.381,4.62,8057,1.6698612,8.55,2.1,1444,8.092350345916808,39.458095491061805,-84.47039319566079,-22.276292815360943,0.10568,57822,91364.0,1504.0,45.2,17.07,12.95,5.49,1.74,27936.99,9.59,2.87,12143.0,-1.0399999999999991,C,C,C,B,F,A+,C
373220,LG에너지솔루션,KOSPI,4.0,234000000.0,462840.0,383132.0,0.09387,17.29,0.0003587222222222,133244288761856.0,556000.0,565040.0,547310.0,629000.0,0.0,0.061902404,17.161012,26.98,26.98,0.99,255986.0,12137.0,128204.68,0.11021,85.97587623459488,-5798.0,-72175.0,25376.06837606838,1.535,0.871,2.51,5.75,0.1603,0.049590003,0.0347,59380.0,177057.0,5.44,135256086675456.0,4.508,34.66,3306,4.440976,167.27,0.0,0,43.39426055489891,-16.141520593612217,148.01412180052958,101.4393293876517,0.85213,80052,755957.0,8013.0,69.4,5.75,12.95,5.49,1.74,27936.99,9.59,0.0,13172.0,157.68,E,B,A,B,H,D,C
000660,SK하이닉스,KOSPI,4.0,708217024.0,4628225.0,3960678.0,0.40008,2.0,7.194404860846723e-05,84220793847808.0,118500.0,116016.0,94370.5,129000.0,0.0,0.061902404,27.009642,58.0,21.454,1.17,446216.0,68094.0,54607.414,0.38006002,64.11862759813874,147805.0,-65070.0,7027.5068677253375,1.669,0.611,2.24,3.56,0.22850999,0.01446,-0.06215,49770.0,405810.0,0.83,106149797953536.0,2.827,3.48,3242,2.2426567,36.55,1.01,1200,3.776472284628516,-76.68829683242862,-230.3898330727721,-58.14227070427865,0.20546,92004,142952.0,-10753.0,-11.0,3.56,12.95,5.49,1.74,27936.99,9.59,1.4620000000000002,28792.0,26.96,D,C,B,C,H,A,B
207940,삼성바이오로직스,KOSPI,4.0,71174000.0,107980.0,64364.0,0.14091,3.35,2.333717368702054e-05,57081549815808.0,802000.0,763120.0,803030.0,922000.0,0.0,0.061902404,-11.725664,-2.8,20.262,0.67,30013.0,9836.0,45224.754,0.4253,84.56341476988146,9530.0,-53314.0,12515.80633377357,1.574,0.763,6.5,11.42,0.48978,0.31111,0.24693,8908.0,75976.0,6.5,55924337147904.0,17.417,45.23,11442,17.777355,69.74,0.0,0,91.4094387755102,102.76930894308944,-3.4717494894486043,40.99354586348523,0.75171,126233,1071000.0,11163.0,71.8,11.42,8.16,28.47,0.26,6242.01,48.89,0.0,18442.0,20.849999999999994,E,A,B,A,H,D,C
005490,POSCO홀딩스,KOSPI,3.9,75876200.0,2944335.0,1697713.0,0.30222,8.45,0.001326885110219,45373968089088.0,598000.0,461190.0,355920.0,764000.0,0.0,0.061902404,132.29573,115.91,25.98,1.01,847502.0,48501.0,1091541.1,0.0851,68.91725343046548,61868.0,-3431.0,106137.36586703078,2.198,1.437,3.75,6.11,0.0733,0.0397,0.02607,80533.0,401494.0,0.43,59612682256384.0,0.72,4.09,41456,0.54804105,14.4,2.01,12000,11.027965880760831,-50.52043524784947,-55.933714405579735,-9.17232555850802,0.01905,692323,707667.0,37348.0,16.0,6.11,7.69,4.67,3.45,11392.07,6.29,4.364,99067.0,8.11,B,C,C,B,G,B,B
051910,LG화학,KOSPI,4.0,70592304.0,399881.0,287432.0,0.36433,6.5,0.0001879241680509,47718391087104.0,634000.0,688300.0,687460.0,857000.0,0.0,0.061902404,-4.2553186,5.0,25.646,1.61,518649.0,29957.0,701671.75,0.112849995,81.3548695209052,5699.0,-73772.0,120379.97796473675,1.669,0.918,3.69,6.94,0.17924,0.04861,0.029790001,84979.0,304927.0,1.49,67574964420608.0,1.234,9.05,23670,0.8714708,26.62,1.59,10000,21.750592145880333,-44.47254609373024,-6.6128358624530135,18.804075196692786,0.33368,445524,897421.0,24057.0,26.4,6.94,8.02,7.44,2.25,9097.35,11.99,1.438,81652.0,14.63,D,C,C,B,G,B,C
006400,삼성SDI,KOSPI,4.0,65433100.0,293821.0,214263.0,0.43203,7.97,0.000246282080476,41121291960320.0,622000.0,692580.0,696510.0,801000.0,0.0,0.061902404,2.4232626,7.28,35.134,1.3,201241.0,18080.0,320452.25,0.15826,75.73689560040656,26411.0,2242.0,39953.78485812226,1.18,0.759,7.27,12.52,0.20143,0.08685,0.09495,26143.0,130400.0,2.47,45593036587008.0,2.128,13.41,29191,1.9189116,21.72,0.16,1030,48.48227724817755,63.09980806142035,28.06727322856355,32.23687459870598,0.20416,251948,943750.0,29195.0,21.3,12.52,12.95,5.49,1.74,27936.99,9.59,0.2719999999999999,46480.0,12.13,E,B,C,B,H,D,C
005380,현대차,KOSPI,4.0,202876000.0,699789.0,594572.0,0.22792,4.89,8.826080955854807e-05,44082772574208.0,188400.0,200154.0,182374.0,211500.0,0.0,0.061902404,-1.8652856,25.43,13.512,0.76,1425275.0,98198.0,715757.1,0.0,181.3556077516736,106273.0,-25556.0,102845.58055166702,78.602,59.352,3.26,9.36,0.0,0.08154,0.0,208649.0,1648459.0,0.5,140095818563584.0,0.897,8.49,28521,0.2821157,6.64,3.7,7000,21.18593051986811,40.23291352690099,92.3821312028806,24.68793937673688,0.31033,407147,285227.0,43012.0,4.4,9.36,6.82,7.88,2.74,7323.79,9.26,3.058,53685.0,-2.62,C,B,D,C,B,A,C
035420,NAVER,KOSPI,4.0,150564000.0,1987059.0,896211.0,0.35969,1.63,0.0001379214154778,33876900577280.0,225000.0,202814.0,197480.5,271000.0,0.0,0.061902404,-14.953274,28.17,22.836,1.29,82201.0,13047.0,57233.86,0.22253999,44.55678605390976,14534.0,-7252.0,18093.30251587365,1.003,0.719,1.99,3.29,1.0,0.15405,0.07442,27242.0,104487.0,1.23,35130347356160.0,4.059,15.99,5007,3.914007,45.44,0.4,914,20.571755456465617,-95.91445356119824,80.8832807570978,17.699677387818944,0.00058,151646,289842.0,5994.0,37.5,3.29,5.75,10.61,0.93,7358.71,26.73,0.25,11372.0,18.71,E,B,B,B,H,D,C
003670,포스코퓨처엠,KOSPI,3.9,77419504.0,1189836.0,1114739.0,0.12991,9.24,0.0006715232895317,34993615142912.0,452000.0,418220.0,288523.0,694000.0,0.0,0.061902404,184.11214,153.33,85.44250000000001,1.34,33019.0,1659.0,48732.477,0.06929,74.95661359692146,-610.0,-8813.0,3634.7429970618255,2.202,1.164,2.85,4.87,0.091129996,0.04257,0.03212,2814.0,19868.0,5.63,36806577881088.0,9.756,57.27,1527,9.275769,298.62,0.07,300,65.96632319678312,-8.89387144992526,11.666666666666666,70.80950947938611,0.6372,31922,547000.0,3056.0,147.9,4.87,12.95,5.49,1.74,27936.99,9.59,0.408,3332.0,289.03000000000003,E,B,A,B,G,D,B
000270,기아,KOSPI,4.0,395081984.0,1446978.0,1229388.0,0.27907,17.01,0.0004074926382874,31171968761856.0,78900.0,84326.0,76244.5,91900.0,0.0,0.061902404,-2.3514867,33.05,21.846,0.75,865590.0,72331.0,229638.64,0.11889,87.3543264257265,93332.0,65695.0,29244.563072762136,1.317,0.91,7.7,14.57,0.21481001,0.09251001,0.07069,115540.0,343679.0,0.61,18896545382400.0,0.206,2.49,13495,0.33922228,5.85,4.44,3500,23.89926484060096,13.627292397537971,105.287623474724,29.05399516266097,0.37761003,98117,125000.0,22559.0,3.5,14.57,6.82,7.88,2.74,7323.79,9.26,3.2840000000000003,23820.0,-3.41,C,B,D,B,G,A,C
035720,카카오,KOSPI,4.0,444983008.0,2729871.0,1756744.0,0.19804001,4.21,0.0001035230540758,23920270901248.0,52600.0,52143.0,56869.0,84300.0,0.0,0.061902404,-36.91756,-0.56,38.664,1.52,71068.0,5803.0,16492.2,0.152,69.6990075303542,6784.0,-4505.0,10867.605982833396,1.453,1.368,4.65,13.54,0.92595,0.06836,0.017690001,48359.0,94316.0,2.37,24988381872128.0,3.473,23.4,3106,3.3243508,17.0,0.11,60,15.808170515097691,-35.4513424857247,-95.17434384691022,5.364170248834534,0.30125,22893,70722.0,840.0,62.6,13.54,5.75,10.61,0.93,7358.71,26.73,0.08,2608.0,-9.73,E,C,D,C,G,D,C
